State,Capital city,Second city,Third city
Alabama,Montgomery,Birmingham,Mobile
Alaska,Juneau,Anchorage,Fairbanks
Arizona,Phoenix,Tucson,Mesa
Arkansas,Little Rock,Fayetteville,Fort Smith
California,Sacramento,Los Angeles,San Francisco
Colorado,Denver,Colorado Springs,Aurora
Connecticut,Hartford,New Haven,Stamford
Delaware,Dover,Wilmington,Newark
Florida,Tallahassee,Miami,Orlando
Georgia,Atlanta,Savannah,Augusta
Hawaii,Honolulu,Hilo,Kailua
Idaho,Boise,Idaho Falls,Twin Falls
Illinois,Springfield,Chicago,Peoria
Indiana,Indianapolis,Fort Wayne,Evansville
Iowa,Des Moines,Cedar Rapids,Davenport
Kansas,Topeka,Wichita,Kansas City
Kentucky,Frankfort,Louisville,Lexington
Louisiana,Baton Rouge,New Orleans,Shreveport
Maine,Augusta,Portland,Bangor
Maryland,Annapolis,Baltimore,Frederick
Massachusetts,Boston,Worcester,Springfield
Michigan,Lansing,Detroit,Grand Rapids
Minnesota,Saint Paul,Minneapolis,Rochester
Mississippi,Jackson,Gulfport,Biloxi
Missouri,Jefferson City,Kansas City,St. Louis
Montana,Helena,Billings,Missoula
Nebraska,Lincoln,Omaha,Bellevue
Nevada,Carson City,Las Vegas,Reno
New Hampshire,Concord,Manchester,Nashua
New Jersey,Trenton,Newark,Jersey City
New Mexico,Santa Fe,Albuquerque,Las Cruces
New York,Albany,New York City,Buffalo
North Carolina,Raleigh,Charlotte,Greensboro
North Dakota,Bismarck,Fargo,Grand Forks
Ohio,Columbus,Cleveland,Cincinnati
Oklahoma,Oklahoma City,Tulsa,Norman
Oregon,Salem,Portland,Eugene
Pennsylvania,Harrisburg,Philadelphia,Pittsburgh
Rhode Island,Providence,Warwick,Cranston
South Carolina,Columbia,Charleston,Greenville
South Dakota,Pierre,Sioux Falls,Rapid City
Tennessee,Nashville,Memphis,Knoxville
Texas,Austin,Houston,Dallas
Utah,Salt Lake City,Provo,Ogden
Vermont,Montpelier,Burlington,Rutland
Virginia,Richmond,Virginia Beach,Norfolk
Washington,Olympia,Seattle,Spokane
West Virginia,Charleston,Morgantown,Huntington
Wisconsin,Madison,Milwaukee,Green Bay
Wyoming,Cheyenne,Casper,Laramie
